InstanceID,Profit
c515-1,293
c515-2,291
c515-3,313
c515-4,327
c515-5,293
c520-1,353
c520-2,369
c520-3,320
c520-4,327
c520-5,316
c525-1,505
c525-2,490
c525-3,484
c525-4,476
c525-5,513
c530-1,508
c530-2,536
c530-3,513
c530-4,539
c530-5,540
c824-1,479
c824-2,478
c824-3,465
c824-4,490
c824-5,463
c832-1,620
c832-2,605
c832-3,664
c832-4,651
c832-5,636
c840-1,855
c840-2,806
c840-3,784
c840-4,792
c840-5,768
c848-1,934
c848-2,953
c848-3,951
c848-4,984
c848-5,952
c1030-1,564
c1030-2,624
c1030-3,607
c1030-4,611
c1030-5,585
c1040-1,797
c1040-2,793
c1040-3,796
c1040-4,794
c1040-5,785
c1050-1,866
c1050-2,872
c1050-3,835
c1050-4,866
c1050-5,844
c1060-1,1224
c1060-2,1217
c1060-3,1210
c1060-4,1234
c1060-5,1200
